店铺ID,店铺名称,销售,收入,创建,发布
518382,东北书局,3303.02,2312.11,17,17
518381,河源市祝君好教育科技有限公司,6,4.2,0,0
168968,海浪书生,29.6,17.76,0,0
518061,梁山金大文化传媒有限公司,3308,2315.6,59,1769
516850,阳光同学文化股份有限公司,0,0,0,0
516849,湖北省智慧源文化发展有限公司,1287.5,901.25,3,47
516315,安徽庐阳书社图书有限公司,525,367.5,0,0
515889,黑龙江省知行书刊经销有限公司,15,10.5,0,0
516314,潍坊新奇点教育科技有限公司,0,0,0,0
514867,拾光树文化,11096,7767.1,72,1925
514602,武汉思颖琪文化传播有限公司,324,226.8,0,0
514604,广西接班人教育科技有限公司,0,0,0,0
514605,合肥优视教育科技有限公司,16,11.2,0,0
514603,陕西明天教育科技发展有限公司,1379,965.3,0,0
514606,河南理想图书发行有限公司,197,137.9,0,0
513170,阜阳市三味书屋教育科技有限公司,67.8,47.46,0,0
513172,沈阳刷考点教辅图书有限公司,3122.6,2185.82,0,0
512829,长沙学有成教育科技有限公司,0,0,0,0
513171,安徽迈进文化传播有限公司,461.6,323.12,0,0
512822,秒懂国际图书（北京）有限公司,0,0,0,0
512825,湖南华文出版传媒有限公司,263.8,184.66,0,0
511590,衡水天枢教育发展有限公司,7425.2,5197.64,0,36
511775,陕西文韬文化传媒有限公司,26204.64,18343.23,0,413
511294,河南晨轩文化科技有限公司,5377.2,3764.04,0,950
511284,长春玖典文化传媒有限公司,60,42,0,0
511770,保定益岸图书销售有限公司,0,0,0,0
511592,武汉市启越教育咨询有限公司,0,0,0,0
511593,天津东岛传媒科技有限公司,448.6,314.02,0,0
511776,驭书斋（天津）文化传播有限公司,2239.8,1567.86,0,0
511434,山东瓜二文化传媒有限公司,0,0,0,0
510374,河北行知文化传媒有限责任公司,70.4,49.28,0,4
507430,广州习阅文化传媒有限公司,2657.8,1860.46,0,0
507429,惠来县薪火科技有限公司,0,0,0,0
506294,慧课教育科技（广东）有限公司,158.2,110.74,0,0
905437,梁山高智传媒科技中心（个体工商户）,11822.12,8275.47,27,225
505620,湖南书虫教育科技有限公司,791.8,554.26,7,12
505618,盛世华阅文化传媒（北京）有限公司,1255.16,878.6,0,20
505017,河南写意年华教育科技有限公司,171.2,119.84,8,8
505619,上海云珏文化传播有限公司,0,0,0,0
503992,济宁长歌文化传媒有限公司,17810.02,12466.92,29,511
503080,福建人民出版社有限责任公司,860.3,602.21,0,77
504617,合肥三新教育科技有限公司,165.8,116.06,0,0
504622,江苏有为咨询有限公司,45,31.5,0,0
504623,山东开心图书有限公司,1185.3,829.71,0,0
503076,聊城市开发区题酷网络科技服务中心,0,0,0,0
503079,郑州启明星书业有限公司,574.8,402.36,8,169
503077,河北兴园书刊有限公司,6,4.2,0,0
503078,武汉市好学途文化传媒有限公司,33.4,23.38,0,0
502866,四川云思路图书销售有限公司,0,0,0,0
502056,潍坊振发文化发展有限公司,10273.7,7191.59,21,177
501922,杭州盛世久顺文化发展有限公司,535.2,374.64,8,427
501752,安徽育甲优创教育科技有限公司,15,7.5,0,0
501417,西安尚墨文化传播有限公司,78.6,55.02,2,17
501751,昆明初莫文化传播有限公司,0,0,0,0
501571,河北鸿硕教育科技有有限公司,974.4,682.08,2,18
501237,兰州书志文化传播有限公司,60,42,0,0
501416,河南超图教育科技有限公司,0,0,0,0
501415,中数数字科技（山东）有限公司,27,13.5,0,0
501236,宁波涌济文化发展有限公司,1790.6,1253.3,0,1
501085,广东宾博文化传播有限公司,2,1.4,0,0
501234,安徽振乾文化传媒有限公司,297.4,208.18,0,0
500775,杭州润游图书有限公司,338,236.6,0,0
501086,四川省教育电子音像出版社有限公司,0,0,0,0
500774,上海汇熙文化传播有限公司,4,2.8,0,0
500779,河南王瑞教育科技有限公司,78.2,54.74,0,0
500772,重庆大学电子音像出版社有限公司,9,4.5,0,0
