店铺ID,店铺名称,2026年3月,2026年4月,2026年5月
518382,东北书局,11,52,23
518381,河源市祝君好教育科技有限公司,0,0,0
168968,海浪书生,0,0,0
518061,梁山金大文化传媒有限公司,18,34,0
516850,阳光同学文化股份有限公司,0,0,0
516849,湖北省智慧源文化发展有限公司,1,6,3
516315,安徽庐阳书社图书有限公司,0,0,0
515889,黑龙江省知行书刊经销有限公司,0,0,0
516314,潍坊新奇点教育科技有限公司,0,0,0
514867,拾光树文化,72,32,0
514602,武汉思颖琪文化传播有限公司,4,2,3
514604,广西接班人教育科技有限公司,1,0,0
514605,合肥优视教育科技有限公司,0,0,0
514603,陕西明天教育科技发展有限公司,0,23,6
514606,河南理想图书发行有限公司,0,0,0
513170,阜阳市三味书屋教育科技有限公司,0,0,0
513172,沈阳刷考点教辅图书有限公司,6,5,6
512829,长沙学有成教育科技有限公司,0,0,0
513171,安徽迈进文化传播有限公司,0,0,0
512822,秒懂国际图书（北京）有限公司,0,0,0
512825,湖南华文出版传媒有限公司,0,1,0
511590,衡水天枢教育发展有限公司,58,100,114
511775,陕西文韬文化传媒有限公司,45,43,16
511294,河南晨轩文化科技有限公司,67,49,0
511284,长春玖典文化传媒有限公司,0,0,0
511770,保定益岸图书销售有限公司,0,0,0
511592,武汉市启越教育咨询有限公司,0,0,0
511593,天津东岛传媒科技有限公司,0,0,0
511776,驭书斋（天津）文化传播有限公司,0,12,1
511434,山东瓜二文化传媒有限公司,0,0,0
510374,河北行知文化传媒有限责任公司,0,0,0
507430,广州习阅文化传媒有限公司,0,4,2
507429,惠来县薪火科技有限公司,0,0,0
506294,慧课教育科技（广东）有限公司,0,0,0
905437,梁山高智传媒科技中心（个体工商户）,90,66,0
505620,湖南书虫教育科技有限公司,0,9,0
505618,盛世华阅文化传媒（北京）有限公司,0,0,0
505017,河南写意年华教育科技有限公司,0,0,0
505619,上海云珏文化传播有限公司,0,0,0
500283,哈尔滨勤为径图书经销有限公司,16,58,0
503080,福建人民出版社有限责任公司,28,0,0
504617,合肥三新教育科技有限公司,0,0,0
504622,江苏有为咨询有限公司,0,0,0
504623,山东开心图书有限公司,15,0,0
503076,聊城市开发区题酷网络科技服务中心,0,0,0
503079,郑州启明星书业有限公司,1,0,3
503077,河北兴园书刊有限公司,0,0,0
503078,武汉市好学途文化传媒有限公司,0,0,0
502866,四川云思路图书销售有限公司,0,0,0
502056,潍坊振发文化发展有限公司,0,45,23
501922,杭州盛世久顺文化发展有限公司,0,0,0
501752,安徽育甲优创教育科技有限公司,0,0,0
501417,西安尚墨文化传播有限公司,0,0,0
501751,昆明初莫文化传播有限公司,0,0,0
501571,河北鸿硕教育科技有有限公司,0,8,0
501237,兰州书志文化传播有限公司,0,0,0
501416,河南超图教育科技有限公司,0,0,0
501415,中数数字科技（山东）有限公司,0,0,0
501236,宁波涌济文化发展有限公司,1,3,0
501085,广东宾博文化传播有限公司,0,0,0
501234,安徽振乾文化传媒有限公司,0,0,0
500775,杭州润游图书有限公司,0,0,0
501086,四川省教育电子音像出版社有限公司,0,0,0
500774,上海汇熙文化传播有限公司,0,0,0
500779,河南王瑞教育科技有限公司,0,0,0
500772,重庆大学电子音像出版社有限公司,0,0,0
500769,山东状元桥文化传播有限公司,0,0,0
500768,北京一本通文化传媒有限公司,0,0,0
500746,北京清北华杰文化科技有限公司,0,0,0
500770,石家庄朗诚文化传媒有限公司,0,0,0
500745,深圳天骄文化传播有限公司,0,0,83
500744,唐山泓延文化传媒有限公司,0,0,0
800049,北京科学技术出版社有限公司,0,0,0
500743,西南大学出版社有限公司,0,0,0
500742,辽宁书林文化传播有限公司,0,0,0
500731,陕西奔跑加文化传播有限公司,0,30,21
500741,河南省雅润天宏文化传媒有限公司,0,0,0
500738,山西三重图书有限公司,0,0,0
500726,湖南老唐说题教育咨询有限公司,0,0,0
500717,山东甘一文化科技有限公司,0,0,0
500724,陕西智优文化传媒有限公司,0,0,0
800053,大连理工大学出版社有限公司,0,0,0
500722,江苏华阅万卷教育科技有限公司,0,0,0
500698,武汉智云优鸿科技有限公司,0,0,0
500709,山东普高文化教育有限公司,0,0,0
500172,陕西灰犀牛图书策划有限公司,305,172,27
