店铺ID,店铺名称,2024年1月,2024年2月,2024年3月,2024年4月,2024年5月,2024年6月,2024年7月,2024年8月,2024年9月,2024年10月,2024年11月,2024年12月,2025年1月,2025年2月,2025年3月,2025年4月,2025年5月,2025年6月,2025年7月,2025年8月,2025年9月,2025年10月,2025年11月,2025年12月,2026年1月,2026年2月,2026年3月,2026年4月,2026年5月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518382,东北书局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,843,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518381,河源市祝君好教育科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168968,海浪书生,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518061,梁山金大文化传媒有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523,158,1588,1636,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516850,阳光同学文化股份有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516849,湖北省智慧源文化发展有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,50,32,0,5,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516315,安徽庐阳书社图书有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,1347,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515889,黑龙江省知行书刊经销有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516314,潍坊新奇点教育科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514867,拾光树文化,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1908,5695,3434,3056,2435,3722,1369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514602,武汉思颖琪文化传播有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,20,0,11,39,23,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514604,广西接班人教育科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514605,合肥优视教育科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,266,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514603,陕西明天教育科技发展有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,786,0,156,572,620,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514606,河南理想图书发行有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766,668,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513170,阜阳市三味书屋教育科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513172,沈阳刷考点教辅图书有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,311,652,125,47,33,48,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512829,长沙学有成教育科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513171,安徽迈进文化传播有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745,62,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512822,秒懂国际图书（北京）有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512825,湖南华文出版传媒有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,410,0,11,0,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511590,衡水天枢教育发展有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,879,2893,1562,0,890,856,467,436,942,747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511775,陕西文韬文化传媒有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,984,429,1099,0,0,191,734,971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511294,河南晨轩文化科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,169,206,156,285,0,123,470,381,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511284,长春玖典文化传媒有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511770,保定益岸图书销售有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,42,121,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511592,武汉市启越教育咨询有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511593,天津东岛传媒科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,283,8,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511776,驭书斋（天津）文化传播有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,143,318,132,6,0,281,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511434,山东瓜二文化传媒有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510374,河北行知文化传媒有限责任公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,41,78,47,32,4,8,11,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507430,广州习阅文化传媒有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,40,38,258,277,439,199,19,32,543,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507429,惠来县薪火科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506294,慧课教育科技（广东）有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,482,300,0,0,0,0,124,26,28,33,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905437,梁山高智传媒科技中心（个体工商户）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759,868,2366,1585,2181,2067,5539,4585,1461,3910,3461,763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505620,湖南书虫教育科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3155,1405,0,54,56,57,5,0,0,0,770,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505618,盛世华阅文化传媒（北京）有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,78,82,81,77,107,1864,1757,143,210,99,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505017,河南写意年华教育科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,72,128,108,109,123,119,133,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505619,上海云珏文化传播有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503992,济宁长歌文化传媒有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2207,805,643,2848,265,595,2598,2536,1492,448,0,3206,2352,780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503080,福建人民出版社有限责任公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880,427,0,0,43,400,386,221,166,4,217,418,177,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504617,合肥三新教育科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,16,0,0,0,0,0,0,0,255,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504622,江苏有为咨询有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,1,0,1,0,0,0,19,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504623,山东开心图书有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,443,1123,13,157,75,88,149,0,31,152,34,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503076,聊城市开发区题酷网络科技服务中心,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503079,郑州启明星书业有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,67,47,24,37,0,0,7,0,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503077,河北兴园书刊有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,36,35,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503078,武汉市好学途文化传媒有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,10,20,10,57,107,40,44,16,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502866,四川云思路图书销售有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,11,8,10,0,48,40,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502056,潍坊振发文化发展有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,491,1357,0,0,0,0,0,47,373,0,0,0,729,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501922,杭州盛世久顺文化发展有限公司,0,0,0,0,0,0,0,0,0,0,0,714,36,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
