店铺ID,店铺名称,2024年1月,2024年2月,2024年3月,2024年4月,2024年5月,2024年6月,2024年7月,2024年8月,2024年9月,2024年10月,2024年11月,2024年12月,2025年1月,2025年2月,2025年3月,2025年4月,2025年5月,2025年6月,2025年7月,2025年8月,2025年9月,2025年10月,2025年11月,2025年12月,2026年1月,2026年2月,2026年3月,2026年4月,2026年5月,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518382,东北书局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.7,1735.24,2413.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518381,河源市祝君好教育科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.72,12.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168968,海浪书生,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,995.74,4.8,11.52,11.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518061,梁山金大文化传媒有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308.42,1608.04,4685.8,3836.3,3650.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516850,阳光同学文化股份有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516849,湖北省智慧源文化发展有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,56,86.1,21,57.75,166.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516315,安徽庐阳书社图书有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.9,1224.72,1635.9,1458.52,734.86,759.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515889,黑龙江省知行书刊经销有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946.05,870.8,561.4,340.2,142.1,40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516314,潍坊新奇点教育科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646.87,263.34,18.9,50.4,37.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514867,拾光树文化,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085,12010.56,14984.88,13565.17,12365.22,13676.7,10552.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514602,武汉思颖琪文化传播有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544.24,1331.96,320.18,840.84,994.7,2745.68,3256.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514604,广西接班人教育科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,16.8,4.2,12.6,95.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514605,合肥优视教育科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1281.56,822.05,57.68,39.2,186.48,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
