店铺ID,店铺名称,2024年1月,2024年2月,2024年3月,2024年4月,2024年5月,2024年6月,2024年7月,2024年8月,2024年9月,2024年10月,2024年11月,2024年12月,2025年1月,2025年2月,2025年3月,2025年4月,2025年5月,2025年6月,2025年7月,2025年8月,2025年9月,2025年10月,2025年11月,2025年12月,2026年1月,2026年2月,2026年3月,2026年4月,2026年5月,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518382,东北书局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,2478.92,3448.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518381,河源市祝君好教育科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.6,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168968,海浪书生,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.8,8,19.2,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518061,梁山金大文化传媒有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440.6,2297.2,6694,5482.44,5215.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516850,阳光同学文化股份有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516849,湖北省智慧源文化发展有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,80,123,30,82.5,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516315,安徽庐阳书社图书有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1749.6,2337,2083.6,1049.8,1085.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515889,黑龙江省知行书刊经销有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1401.5,1244,802,486,203,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516314,潍坊新奇点教育科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924.1,376.2,27,72,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514867,拾光树文化,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1582,17444.98,21407.4,19378.82,17664.6,19538.2,15075.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514602,武汉思颖琪文化传播有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,789.49,1926.8,416.4,1201.2,1421,3860.4,4652,,,,,,,,,,,,,,,,,,,,,,,,,,,,
